Patient_ID,First_Name,Last_Name,Gender,Age,Date_of_Birth,Blood_Group,Marital_Status,Phone_Number,Email,Address,City,State,Country,Pincode,Height_cm,Weight_kg,BMI,Smoking_Status,Alcohol_Consumption,Chronic_Condition,Primary_Doctor_ID,Insurance_Provider,Insurance_Policy_No,Registration_Date
P00001,Suresh,Iyer,Male,38,1987-11-23,B+,Single,9698790602,user1@mail.com,Local Address,Navi Mumbai,Maharashtra,India,400271,155,50,20.8,Yes,Occasionally,Thyroid,D110,Reliance General,POL127128,2023-10-19
P00002,Amit,Sharma,Female,38,1987-04-28,B+,Married,9762620912,user2@mail.com,Local Address,Mumbai,Maharashtra,India,401660,168,74,26.2,Yes,Occasionally,None,D102,Star Health,POL919951,2023-02-12
P00003,Neha,Joshi,Male,56,1969-12-29,AB-,Single,9522528550,user3@mail.com,Local Address,Nashik,Maharashtra,India,409094,169,71,24.9,No,No,Thyroid,D109,New India Assurance,POL924889,2020-07-25
P00004,Anjali,Patil,Male,47,1978-12-04,A-,Married,9196136323,user4@mail.com,Local Address,Mumbai,Maharashtra,India,402003,162,60,22.9,No,No,Diabetes,D101,Reliance General,POL912134,2020-05-17
P00005,Rohan,Verma,Male,41,1984-02-11,A-,Single,9644918514,user5@mail.com,Local Address,Navi Mumbai,Maharashtra,India,403090,151,87,38.2,No,No,Hypertension,D110,Reliance General,POL911663,2021-12-04
P00006,Suresh,Kulkarni,Male,46,1979-09-03,A+,Married,9469747118,user6@mail.com,Local Address,Navi Mumbai,Maharashtra,India,407991,162,85,32.4,No,Occasionally,None,D110,ICICI Lombard,POL589437,2022-01-24
P00007,Suresh,Nair,Male,42,1983-02-17,B-,Single,9199546251,user7@mail.com,Local Address,Pune,Maharashtra,India,409997,176,88,28.4,Yes,No,None,D108,Reliance General,POL682287,2020-03-22
P00008,Vikas,Gupta,Female,59,1966-03-23,AB+,Married,9000565982,user8@mail.com,Local Address,Pune,Maharashtra,India,408884,173,60,20.0,Yes,Occasionally,Hypertension,D100,HDFC Ergo,POL523880,2022-03-23
P00009,Kavita,Mehta,Female,30,1995-03-30,A+,Married,9853397700,user9@mail.com,Local Address,Navi Mumbai,Maharashtra,India,408775,155,68,28.3,Yes,No,Asthma,D103,Star Health,POL233712,2020-10-24
P00010,Vikas,Nair,Male,58,1967-11-03,AB+,Married,9471311790,user10@mail.com,Local Address,Nagpur,Maharashtra,India,405587,165,67,24.6,No,Occasionally,Hypertension,D109,Reliance General,POL763277,2022-05-11
